thickness,wavelength,QE,QE_fraction,wavelength_m,Responsivity_A_W,Bulk Defect Density
1.4,340,13.26238,0.1326238,0.00000034,0.0362513049944729,6404384406934.21
1.4,380,14.11871,0.1411871,0.00000038,0.0431322263089136,7620011407900.49
1.4,420,17.15221,0.1715221,0.00000042,0.0579152101296352,10231666659589.4
1.4,460,18.74817,0.1874817,0.00000046,0.0693329972867048,12248805023065.6
1.4,500,20.68463,0.2068463,0.0000005,0.0831459350819013,14689085819660.3
1.4,540,26.7078,0.267078,0.00000054,0.115945830569792,20483722433259.3
1.4,580,36.06283,0.3606283,0.00000058,0.16815549311627,29707411035778.3
1.4,620,43.30471,0.4330471,0.00000062,0.215849021806854,38133250919451.9
1.4,660,46.85354,0.4685354,0.00000066,0.248604854989448,43920103208017.3
1.4,700,48.50806,0.4850806,0.0000007,0.272982751482263,48226856308250.3
1.4,740,51.83405,0.5183405,0.00000074,0.308368582052055,54478340539290.9
1.4,780,0.7569445,0.007569445,0.00000078,0.0047465919807054,838562906133.819
1.4,820,0.00000007282557,7.282557E-10,0.00000082,4.80088171239071E-10,84815.4072882577
1.4,860,0.00000002710478,2.710478E-10,0.00000086,1.87399142196764E-10,33107.1155739301
1.4,900,0.00000002776658,2.776658E-10,0.0000009,2.00903804642749E-10,35492.9345010877
1.4,940,0.00000005950594,5.950594E-10,0.00000094,4.49688140689378E-10,79444.7459657904
1.4,980,0.0000001067085,0.000000001067085,0.00000098,8.40714139282484E-10,148525.867555134
1.4,1020,0.0000001562132,0.000000001562132,0.00000102,1.28097649683449E-09,226305.395163755
1.4,1060,0.0000002000716,0.000000002000716,0.00000106,1.70496147924832E-09,301209.258915954
1.4,1100,0.0000002411585,0.000000002411585,0.0000011,2.13264475932067E-09,376766.487281098
1.7,300,14.75779,0.1475779,0.0000003,0.0355931022007838,6288102145946.76
1.7,340,13.26239,0.1326239,0.00000034,0.0362513323284092,6404389235919.96
1.7,380,14.11872,0.1411872,0.00000038,0.0431322568586071,7620016805002.22
1.7,420,17.15222,0.1715222,0.00000042,0.0579152438950859,10231672624807.1
1.7,460,18.74819,0.1874819,0.00000046,0.0693330712491206,12248818089733
1.7,500,20.68478,0.2068478,0.0000005,0.0831465380363782,14689192341404.8
1.7,540,26.7122,0.267122,0.00000054,0.115964932167621,20487097042126.7
1.7,580,36.12098,0.3612098,0.00000058,0.168426637724852,29755313154157
1.7,620,43.51436,0.4351436,0.00000062,0.21689400623053,38317864465074.6
1.7,660,47.2167,0.472167,0.00000066,0.250531781730479,44260526251420.7
1.7,700,48.97562,0.4897562,0.0000007,0.275613980504472,48691705839142.4
1.7,740,52.63259,0.5263259,0.00000074,0.313119216963119,55317617695026.3
1.7,780,0.8608131,0.008608131,0.00000078,0.0053979235694905,953631256682.716
1.7,820,0.00000007003358,7.003358E-10,0.00000082,4.61682529193046E-10,81563.7503634339
1.7,860,0.0000001300957,0.000000001300957,0.00000086,8.9946579841222E-10,158905.306575863
1.7,900,0.0000001468427,0.000000001468427,0.0000009,1.06247356044619E-09,187703.286939294
1.7,940,0.000000128861,0.00000000128861,0.00000094,9.73806371218973E-10,172038.7815048
1.7,980,0.00000009098517,9.098517E-10,0.00000098,7.1683623032861E-10,126640.81407668
1.7,1020,0.00000002482862,2.482862E-10,0.00000102,2.03599175158276E-10,35969.1156731359
1.7,1060,-0.00000006183425,-6.183425E-10,0.00000106,-5.26936428499648E-10,-93091.916184625
1.7,1100,-0.0000001536209,-0.000000001536209,0.0000011,-1.35852067128932E-09,-240004.838585249
2,300,14.75779,0.1475779,0.0000003,0.0355931022007838,6288102145946.76
2,340,13.26239,0.1326239,0.00000034,0.0362513323284092,6404389235919.96
2,380,14.11872,0.1411872,0.00000038,0.0431322568586071,7620016805002.22
2,420,17.15222,0.1715222,0.00000042,0.0579152438950859,10231672624807.1
2,460,18.74821,0.1874821,0.00000046,0.0693331452115365,12248831156400.3
2,500,20.68488,0.2068488,0.0000005,0.0831469400060295,14689263355901.2
2,540,26.71517,0.2671517,0.00000054,0.115977825746156,20489374903112.1
2,580,36.15952,0.3615952,0.00000058,0.168606343885037,29787061178960.4
2,620,43.65341,0.4365341,0.00000062,0.217587090342679,38440309079998.7
2,660,47.45907,0.4745907,0.00000066,0.251817796804341,44487721793412.4
2,700,49.28935,0.4928935,0.0000007,0.277379519646267,49003617130370.9
2,740,53.17893,0.5317893,0.00000074,0.31636947603256,55891828982206
2,780,0.9598579,0.009598579,0.00000078,0.0060190064274947,1063355675481.51
2,820,0.00000004251382,4.251382E-10,0.00000082,2.80263952567581E-10,49513.1992606398
2,860,0.000000158488,0.00000000158488,0.00000086,1.09576669681439E-09,193585.062600804
2,900,0.0000002948634,0.000000002948634,0.0000009,2.13347048537835E-09,376912.365259532
2,940,0.0000004265375,0.000000004265375,0.00000094,3.22335644658828E-09,569458.499981402
