thickness,wavelength,QE,QE_fraction,wavelength_m,Responsivity_A_W
1.4,580,36.06283,0.36062829999999996,5.800000000000001e-07,0.1681554931162697
1.4,620,43.30471,0.4330471,6.2e-07,0.21584902180685359
1.4,660,46.85354,0.46853540000000005,6.6e-07,0.24860485498944832
1.4,700,48.50806,0.48508060000000003,7.000000000000001e-07,0.27298275148226314
1.4,740,51.83405,0.5183405,7.4e-07,0.3083685820520551
1.4,780,0.7569445,0.007569445,7.8e-07,0.004746591980705457
1.4,820,7.282557e-08,7.282557e-10,8.200000000000001e-07,4.800881712390714e-10
1.4,860,2.710478e-08,2.710478e-10,8.6e-07,1.8739914219676412e-10
1.4,900,2.776658e-08,2.7766580000000004e-10,9.000000000000001e-07,2.009038046427495e-10
1.4,940,5.950594e-08,5.950594e-10,9.400000000000001e-07,4.49688140689378e-10
1.4,980,1.067085e-07,1.0670850000000001e-09,9.800000000000001e-07,8.407141392824844e-10
1.4,1020,1.562132e-07,1.562132e-09,1.02e-06,1.280976496834489e-09
1.4,1060,2.000716e-07,2.000716e-09,1.06e-06,1.7049614792483168e-09
1.4,1100,2.411585e-07,2.411585e-09,1.1e-06,2.132644759320671e-09
1.7,300,14.75779,0.1475779,3.0000000000000004e-07,0.03559310220078385
1.7,340,13.26239,0.1326239,3.4000000000000003e-07,0.0362513323284092
1.7,380,14.11872,0.14118719999999998,3.8e-07,0.04313225685860717
1.7,420,17.15222,0.17152219999999999,4.2e-07,0.05791524389508591
1.7,460,18.74819,0.1874819,4.6000000000000004e-07,0.06933307124912069
1.7,500,20.68478,0.2068478,5.000000000000001e-07,0.08314653803637827
1.7,540,26.7122,0.26712199999999997,5.4e-07,0.11596493216762133
1.7,580,36.12098,0.3612098,5.800000000000001e-07,0.16842663772485178
1.7,620,43.51436,0.4351436,6.2e-07,0.21689400623052957
1.7,660,47.2167,0.472167,6.6e-07,0.25053178173047935
1.7,700,48.97562,0.4897562,7.000000000000001e-07,0.2756139805044719
1.7,740,52.63259,0.5263259,7.4e-07,0.3131192169631193
1.7,780,0.8608131,0.008608131,7.8e-07,0.005397923569490504
1.7,820,7.003358e-08,7.003358e-10,8.200000000000001e-07,4.61682529193046e-10
1.7,860,1.300957e-07,1.3009569999999999e-09,8.6e-07,8.994657984122198e-10
1.7,900,1.468427e-07,1.4684270000000001e-09,9.000000000000001e-07,1.0624735604461865e-09
1.7,940,1.28861e-07,1.28861e-09,9.400000000000001e-07,9.73806371218973e-10
1.7,980,9.098517e-08,9.098516999999999e-10,9.800000000000001e-07,7.168362303286103e-10
1.7,1020,2.482862e-08,2.482862e-10,1.02e-06,2.0359917515827555e-10
1.7,1060,-6.183425e-08,-6.183425e-10,1.06e-06,-5.269364284996483e-10
1.7,1100,-1.536209e-07,-1.5362090000000001e-09,1.1e-06,-1.3585206712893178e-09
2.0,300,14.75779,0.1475779,3.0000000000000004e-07,0.03559310220078385
2.0,340,13.26239,0.1326239,3.4000000000000003e-07,0.0362513323284092
2.0,380,14.11872,0.14118719999999998,3.8e-07,0.04313225685860717
2.0,420,17.15222,0.17152219999999999,4.2e-07,0.05791524389508591
2.0,460,18.74821,0.1874821,4.6000000000000004e-07,0.06933314521153655
2.0,500,20.68488,0.2068488,5.000000000000001e-07,0.08314694000602955
2.0,540,26.71517,0.2671517,5.4e-07,0.11597782574615617
2.0,580,36.15952,0.3615952,5.800000000000001e-07,0.1686063438850367
2.0,620,43.65341,0.43653410000000004,6.2e-07,0.21758709034267915
2.0,660,47.45907,0.4745907,6.6e-07,0.2518177968043413
2.0,700,49.28935,0.4928935,7.000000000000001e-07,0.2773795196462667
2.0,740,53.17893,0.5317893,7.4e-07,0.31636947603255955
2.0,780,0.9598579,0.009598579000000001,7.8e-07,0.006019006427494725
2.0,820,4.251382e-08,4.2513820000000004e-10,8.200000000000001e-07,2.8026395256758117e-10
2.0,860,1.58488e-07,1.58488e-09,8.6e-07,1.0957666968143906e-09
2.0,900,2.948634e-07,2.9486339999999996e-09,9.000000000000001e-07,2.1334704853783537e-09
2.0,940,4.265375e-07,4.265375e-09,9.400000000000001e-07,3.223356446588283e-09
2.0,980,5.46689e-07,5.46689e-09,9.800000000000001e-07,4.307146779218169e-09
2.0,1020,6.70035e-07,6.7003499999999995e-09,1.02e-06,5.494408200180886e-09
